Run_ID	Raw_Reads	QC_Filtered_Reads	Survival_Rate
ERR5195326	22659	16026	70.00%
ERR5195327	19351	15022	77.00%
ERR5195328	81432	54160	66.00%
ERR5195329	36566	33442	91.00%
ERR5195330	118294	84453	71.00%
ERR5195331	19767	14244	72.00%
ERR5195332	38089	25588	67.00%
ERR5195333	41805	27121	64.00%
ERR5195334	66947	52525	78.00%
ERR5195335	21631	17828	82.00%
ERR5195336	114382	65276	57.00%
ERR5195337	21393	16649	77.00%
ERR5195338	95411	48267	50.00%
ERR5195339	25688	20442	79.00%
ERR5195340	30114	23332	77.00%
ERR5195341	67387	50178	74.00%
ERR5195342	33455	24275	72.00%
ERR5195343	75781	61336	80.00%
ERR5195344	38372	33105	86.00%
ERR5195345	32615	22459	68.00%
ERR5195346	39480	19664	49.00%
ERR5195347	30901	21131	68.00%
ERR5195348	35403	22990	64.00%
ERR5195349	37538	29968	79.00%
ERR5195350	23844	19282	80.00%
ERR5195351	149656	93199	62.00%
ERR5195352	114949	82287	71.00%
ERR5195353	129735	99105	76.00%
ERR5195354	168555	100076	59.00%
ERR5195355	159730	92830	58.00%
ERR5195356	283587	233063	82.00%
ERR5195357	245823	107707	43.00%
ERR5195358	63290	52212	82.00%
ERR5195359	247246	158434	64.00%
ERR5195360	337419	145410	43.00%
ERR5195361	99015	61975	62.00%
ERR5195362	190782	104588	54.00%
ERR5195363	111360	67286	60.00%
ERR5195364	94538	54069	57.00%
ERR5195365	225883	155274	68.00%
ERR5195366	113506	69274	61.00%
ERR5195367	160039	94560	59.00%
ERR5195368	128346	85176	66.00%
ERR5195369	214906	123893	57.00%
ERR5195370	128314	74010	57.00%
ERR5195371	153922	123003	79.00%
ERR5195372	107505	58076	54.00%
ERR5195373	195721	119532	61.00%
ERR5195374	124719	80712	64.00%
ERR5195375	122583	58182	47.00%
ERR5195376	130328	76371	58.00%
ERR5195377	206634	145860	70.00%
ERR5195378	28388	25078	88.00%
ERR5195379	24748	20583	83.00%
ERR5195380	20681	20491	99.00%
ERR5195381	23095	22712	98.00%
ERR5195382	30785	30355	98.00%
ERR5195383	30704	30513	99.00%
ERR5195384	30326	29893	98.00%
