Run_ID	Raw_Reads	QC_Filtered_Reads	Survival_Rate
SRR7642466	84846	84136	99.00%
SRR7642467	46916	46211	98.00%
SRR7642468	74896	74097	98.00%
SRR7642469	81617	80869	99.00%
SRR7642470	127035	125788	99.00%
SRR7642471	119727	118685	99.00%
SRR7642472	86586	85672	98.00%
SRR7642473	45507	45120	99.00%
SRR7642474	95310	94341	98.00%
SRR7642475	83858	83019	98.00%
SRR7642476	128188	127049	99.00%
SRR7642477	115613	114437	98.00%
SRR7642478	96608	95618	98.00%
SRR7642479	95328	94491	99.00%
SRR7642480	82525	81648	98.00%
SRR7642481	105236	104123	98.00%
SRR7642482	101636	100555	98.00%
SRR7642483	105489	104543	99.00%
SRR7642484	67362	66604	98.00%
SRR7642485	74200	73437	98.00%
SRR7642486	44751	43996	98.00%
SRR7642487	32220	31576	98.00%
SRR7642488	67273	66400	98.00%
SRR7642489	58632	57979	98.00%
SRR7642490	34645	34255	98.00%
SRR7642491	35493	34970	98.00%
SRR7642492	64222	63729	99.00%
SRR7642493	76888	75664	98.00%
SRR7642494	48456	48038	99.00%
SRR7642495	53519	52999	99.00%
SRR7642496	77688	76790	98.00%
SRR7642497	73127	72520	99.00%
SRR7642498	81783	80990	99.00%
SRR7642499	73577	72622	98.00%
SRR7642500	73701	72767	98.00%
SRR7642501	98992	98011	99.00%
SRR7642502	110264	109209	99.00%
SRR7642503	96319	95328	98.00%
SRR7642504	70134	69185	98.00%
SRR7642505	88179	87267	98.00%
SRR7642506	27697	27433	99.00%
SRR7642507	60489	59666	98.00%
SRR7642508	60280	59506	98.00%
SRR7642509	58664	58209	99.00%
SRR7642510	36984	36554	98.00%
SRR7642511	31639	31260	98.00%
SRR7642512	22537	22186	98.00%
SRR7642514	42976	42656	99.00%
SRR7642515	39693	39466	99.00%
SRR7642516	18426	18359	99.00%
SRR7642517	39081	38643	98.00%
SRR7642518	24428	24310	99.00%
SRR7642519	28231	27749	98.00%
SRR7642520	22559	22330	98.00%
SRR7642521	21806	21399	98.00%
SRR7642522	23816	23346	98.00%
SRR7642523	48612	48182	99.00%
SRR7642524	47080	46508	98.00%
SRR7642525	22881	22670	99.00%
SRR7642526	51183	50795	99.00%
SRR7642527	51519	50822	98.00%
SRR7642528	35494	34769	97.00%
SRR7642529	29615	29422	99.00%
SRR7642530	39011	38506	98.00%
SRR7642531	50894	50043	98.00%
SRR7642532	35365	35070	99.00%
SRR7642533	41660	40971	98.00%
SRR7642534	37107	36712	98.00%
SRR7642535	55386	54910	99.00%
SRR7642536	47023	46586	99.00%
SRR7642537	58350	57691	98.00%
SRR7642538	89978	89153	99.00%
SRR7642539	62243	61679	99.00%
SRR7642540	94413	93525	99.00%
SRR7642541	87781	86946	99.00%
SRR7642542	80673	79972	99.00%
SRR7642543	115149	114034	99.00%
SRR7642544	85583	84815	99.00%
SRR7642545	101081	100197	99.00%
SRR7642546	54743	54307	99.00%
SRR7642547	39658	39471	99.00%
SRR7642548	30166	29672	98.00%
SRR7642549	27024	26858	99.00%
SRR7642550	42089	41705	99.00%
SRR7642551	28759	28264	98.00%
SRR7642552	56878	56436	99.00%
SRR7642553	70423	69756	99.00%
SRR7642554	37759	37354	98.00%
SRR7642555	44741	44239	98.00%
SRR7642556	55021	54475	99.00%
SRR7642557	52690	52151	98.00%
SRR7642558	60010	59358	98.00%
SRR7642559	36441	36038	98.00%
SRR7642560	24840	24706	99.00%
SRR7642561	55246	54846	99.00%
SRR7642562	37301	36894	98.00%
SRR7642563	59100	58564	99.00%
SRR7642564	58988	58589	99.00%
SRR7642565	54199	53705	99.00%
SRR7642566	55021	54366	98.00%
SRR7642567	56327	55739	98.00%
SRR7642568	104713	103667	99.00%
SRR7642569	103051	101941	98.00%
SRR7642570	69467	68607	98.00%
SRR7642571	88946	87874	98.00%
SRR7642572	138913	137511	98.00%
SRR7642573	82576	81500	98.00%
SRR7642574	38189	37635	98.00%
SRR7642575	73011	72202	98.00%
SRR7642576	49286	48568	98.00%
SRR7642577	69385	68077	98.00%
